172.67.209.179,LHR,Europe,London,184 ms
172.67.216.195,LHR,Europe,London,184 ms
104.21.125.56,LHR,Europe,London,185 ms
172.67.223.86,LHR,Europe,London,185 ms
104.21.194.211,LHR,Europe,London,186 ms
104.22.27.46,HKG,Asia Pacific,Hong Kong,158 ms
104.17.132.32,HKG,Asia Pacific,Hong Kong,161 ms
104.22.48.128,HKG,Asia Pacific,Hong Kong,162 ms
104.18.31.241,HKG,Asia Pacific,Hong Kong,165 ms
104.17.134.212,HKG,Asia Pacific,Hong Kong,167 ms
104.18.56.129,SJC,North America,San Jose,152 ms
104.19.45.161,SJC,North America,San Jose,153 ms
104.19.15.244,SJC,North America,San Jose,153 ms
104.18.124.1,LAX,North America,Los Angeles,153 ms
104.19.49.154,SJC,North America,San Jose,154 ms
